description,category,civic_issue
This is a 1 feet deep hole but in the image the size was not able to be captured. This hole makes the vehicles to bounce and fall. I have  seen a accident bcos of this hole.,Potholes,1
Please clear the garbage opp to Tristar residency mogappair . The whole road stinks due to it.,Waste/Garbage,1
See near sdat swimming pool there are 3 hospitals .In an open land it has been put that  dumping of garbage in that spot they will be fined.Worst thing they are burning the garbage.,Waste/Garbage,1
To clean the garbage which is in front of a house,Waste/Garbage,1
It is a bit of feeling bad to say  that this is way too worse than before as it is nowadays very dark at night and we cannot drive at all.It is a small area but it is next to the turning point .,Streetlights,1
This was just a vacant plot of land which has now turned into a foul smelling garbage dump. It is located near residential areas and is quite an issue. Stray animals feed on this plastic .,Waste/Garbage,1
"It is a small area but it is next to the turning point,so people  are fearing that accidents might occur.",Streetlights,1
A small areas which havent bought are not taken care properly pls ensure not to do so,Waste/Garbage,1
The street light is not working,Streetlights,1
Polluted air in Besant Nagar,Air,1
"Help.
",Waste/Garbage,1
"It's disturbing when you cross that place 
It smells bad. Hope the government takes action",Waste/Garbage,1
It is very difficult for people to travel,Potholes,1
Always the bin is overflowed,Waste/Garbage,1
It's disturbing when you cross that place. It smells bad,Waste/Garbage,1
Many people  are not using the dustbin like it they dump all their household wastes in a same day and the government workers are not able to take these things to the  garbage point,Waste/Garbage,1
It was disturbing when you cross that place. It smelt bad,Waste/Garbage,1
In our locality there is a water problem because of the water leakage.,Water,1
It cleared for more than a month,Waste/Garbage,1
Garbage in road not yet cleaned for several years,Waste/Garbage,1
No way for draining for water,Water,1
Garbages  are fell out of the bin which produces a bad smell which is not good for health...,Waste/Garbage,1
Drainage holes are broken which produces a bad smell and insects irritability is more near those places. It is also leaking and it will produce many diseases.... so take action on it.....,Sewage,1
This dense fog of smoke and dust is causing a havoc for passersby and residents,Air,1
There is a garbage   had fallen in roads,Waste/Garbage,1
Help to clear water,Water,1
Garbage bins are over loaded and trees which are uprooted  are not cleared...,Waste/Garbage,1
"This garbage is causing a health hazard to residents, passersby and even to animals",Waste/Garbage,1
"Garbage is dumped in an open area and produces the bad smell and causes infection ti people who all r walking by the side of the garbage.....It causes the bad smell and diseases....Take actions plz
",Waste/Garbage,1
Dustbins should be installed on all roads sides,Waste/Garbage,1
In this area many of the drinking water are wasted while raining and there is no soil to seep the water,Water,1
It has not been cleared nearly one month,Waste/Garbage,1
Electric cables scartted in a street in kk nagar,Streetlights,1
It is not cleared for more than one month,Waste/Garbage,1
It is not cleared for nearly a month ,Waste/Garbage,1
Dustbins should be installed on all roads and should be maintained,Waste/Garbage,1
"This is the afterburn of Chennai rains
Even though the rain has stopped before 8 hours there is still water stagnated on the roads of T.Nagar this acts as a breeding ground for disease causing insects",Water,1
Garbage overload in road in thiruvanmiyur,Waste/Garbage,1
Wrongly parking bike for so many days,Traffic/Parking,1
If there are no vehicle no road there will be no traffic ,Traffic/Parking,1
Garbages are being burnt which produces smoke which causes diseases and infections... so pls take action...,Waste/Garbage,1
If there are no vehicle on road there will be no traffic ,Traffic/Parking,1
This is not the actual place for garbage it is actually in the street corner and people are using this for peeing and the waste items are not thrown inside just they are throwing down,Waste/Garbage,1
If there are no vehicle on road there will be no traffic ,Traffic/Parking,1
Many people park their motorcycles on the footpath for visiting the VR Chennai. They park their vehicles in order to avoid the parking fares charged by the mall.,Traffic/Parking,1
Clean the garbage,Waste/Garbage,1
Without street lights many women’s men’s and children’s getting hurt.I want to solve this problem.,Streetlights,1
House without manholes in chennai,Potholes,1
"Water is logging in the roads
",Water,1
Marina beach with garbage,Waste/Garbage,1
Wrong parking in santhome,Traffic/Parking,1
Dustbins should be installed on all roads and should be maintained and cleaned,Waste/Garbage,1
Electric cables in road in kk nagar,Streetlights,1
Dustbins should be installed on all roads and should be maintained and cleaned ,Waste/Garbage,1
Garbage spread all over the street and are rarely cleaned,Waste/Garbage,1
Garbage acclimated in Jai Balaji nagar in rampur,Waste/Garbage,1
Waste has not be collected in ponnamalle ,Waste/Garbage,1
Don’t waste water! We will suffer!,Water,1
Even if little rain comes water remains there,Water,1
Construction materials have taken up a major portion of the road in tnagar,Traffic/Parking,1
Don’t waste water ???? We will suffer later????????,Water,1
Street lights are not oned In correct time,Streetlights,1
Empty bare land is filled with thin sheets of plastics ,Waste/Garbage,1
All of them throw all the waste even drinking people will leave the bottles there,Waste/Garbage,1
Street lights not ones on correct time,Streetlights,1
"Garbage dumped out of garbage
",Waste/Garbage,1
If the water taps are not closed properly or if the knob is not tight water leaks out and hence water gets wasted in large quantities. ,Water,1
Found wires dangling on the gate of a house in Gopalapuram 2 nd street. Hope this issue would be looked upon due to its risk.,Streetlights,1
There are so many ???? have been parked here in the platform so please tell them to take them out.,Traffic/Parking,1
This the garbage ???? bin which is not overflowing but it really stinks ???? so pls clean ???? it up.,Waste/Garbage,1
"Potb holes on the road!!!  Due to this hole many 
Accidents take place governmentust take action in these problem",Potholes,1
Garbage ???? has been dumbed here and they really have a very bad smell so please clean ???? is please,Waste/Garbage,1
Heavy traffic jam due to wrong parking,Traffic/Parking,1
Air pollution is one of main reasons of increase in carbondioxide and breathing diseases such asthma etc,Air,1
There is no garbage ???? over here so animals eat all the plastics and get respiratory problems. Please clean ???? it ,Waste/Garbage,1
This was the photo taken one week before and one day one ☝️ guy threw a burning bottle and it created a lot of problems.so please get two dust ???? one for bio degradable and non bio degradable.????,Waste/Garbage,1
What has happened to this world ...no body worried about themselves nor about the animals...this is happening very wrong ...serious action should be taken...,Waste/Garbage,1
"Oh my god...why can't the people understand that these garbage will harm the animals like cows,dogs etc...what has happened to this world??.some serious action should be taken..",Waste/Garbage,1
Garbage ???? has been dumbed over here ???? and please clean it as soon as possible.,Waste/Garbage,1
In many times tap are opened.so that it is bad for future,Water,1
"Water logging on road
",Water,1
A lot of garbage is  dumped here everyday. There are many street dogs which consume this garbage dumped here. So I would request you to please insert dustbins where the waste can be segregated.,Waste/Garbage,1
Air pollution,Air,1
Garbage is being dumped in vacant lot which is not good for the environment plz help to clean it guys I am doing my best to clean it,Waste/Garbage,1
Help,Water,1
Dustbins should be installed on all roads and should be maintained and cleaned regularly,Waste/Garbage,1
After construction on roads new roads should be laid,Potholes,1
